rho,seed,ham_final,active_frac_final,n_iter_converged
1e-06,0,0.4868,0.0324,1
1e-06,1,0.5016,0.025,1
1e-06,2,0.483,0.025,1
1e-06,3,0.4952,0.027,1
1e-06,4,0.5014,0.0248,1
1.778279410038923e-06,0,0.4902,0.0146,1
1.778279410038923e-06,1,0.502,0.0118,1
1.778279410038923e-06,2,0.4828,0.0116,1
1.778279410038923e-06,3,0.4984,0.0122,1
1.778279410038923e-06,4,0.5034,0.0108,1
3.162277660168379e-06,0,0.4898,0.0034,1
3.162277660168379e-06,1,0.5036,0.0038,1
3.162277660168379e-06,2,0.4844,0.004,1
3.162277660168379e-06,3,0.4982,0.0036,1
3.162277660168379e-06,4,0.5036,0.003,1
5.623413251903491e-06,0,0.4906,0.0006,1
5.623413251903491e-06,1,0.5034,0.0004,1
5.623413251903491e-06,2,0.4838,0.001,1
5.623413251903491e-06,3,0.4988,0.0014,1
5.623413251903491e-06,4,0.504,0.0006,1
1e-05,0,0.4912,0.0,1
1e-05,1,0.5034,0.0,1
1e-05,2,0.4838,0.0002,1
1e-05,3,0.4988,0.0002,1
1e-05,4,0.5038,0.0,1
1.778279410038923e-05,0,0.4912,0.0,1
1.778279410038923e-05,1,0.5034,0.0,1
1.778279410038923e-05,2,0.484,0.0,1
1.778279410038923e-05,3,0.4986,0.0,1
1.778279410038923e-05,4,0.5038,0.0,1
3.1622776601683795e-05,0,0.4912,0.0,1
3.1622776601683795e-05,1,0.5034,0.0,1
3.1622776601683795e-05,2,0.484,0.0,1
3.1622776601683795e-05,3,0.4986,0.0,1
3.1622776601683795e-05,4,0.5038,0.0,1
5.623413251903491e-05,0,0.4912,0.0,1
5.623413251903491e-05,1,0.5034,0.0,1
5.623413251903491e-05,2,0.484,0.0,1
5.623413251903491e-05,3,0.4986,0.0,1
5.623413251903491e-05,4,0.5038,0.0,1
0.0001,0,0.4912,0.0,1
0.0001,1,0.5034,0.0,1
0.0001,2,0.484,0.0,1
0.0001,3,0.4986,0.0,1
0.0001,4,0.5038,0.0,1
0.00017782794100389227,0,0.4912,0.0,1
0.00017782794100389227,1,0.5034,0.0,1
0.00017782794100389227,2,0.484,0.0,1
0.00017782794100389227,3,0.4986,0.0,1
0.00017782794100389227,4,0.5038,0.0,1
0.00031622776601683794,0,0.4912,0.0,1
0.00031622776601683794,1,0.5034,0.0,1
0.00031622776601683794,2,0.484,0.0,1
0.00031622776601683794,3,0.4986,0.0,1
0.00031622776601683794,4,0.5038,0.0,1
0.0005623413251903491,0,0.4912,0.0,1
0.0005623413251903491,1,0.5034,0.0,1
0.0005623413251903491,2,0.484,0.0,1
0.0005623413251903491,3,0.4986,0.0,1
0.0005623413251903491,4,0.5038,0.0,1
0.001,0,0.4912,0.0,1
0.001,1,0.5034,0.0,1
0.001,2,0.484,0.0,1
0.001,3,0.4986,0.0,1
0.001,4,0.5038,0.0,1
0.0017782794100389228,0,0.4912,0.0,1
0.0017782794100389228,1,0.5034,0.0,1
0.0017782794100389228,2,0.484,0.0,1
0.0017782794100389228,3,0.4986,0.0,1
0.0017782794100389228,4,0.5038,0.0,1
0.0031622776601683794,0,0.4912,0.0,1
0.0031622776601683794,1,0.5034,0.0,1
0.0031622776601683794,2,0.484,0.0,1
0.0031622776601683794,3,0.4986,0.0,1
0.0031622776601683794,4,0.5038,0.0,1
0.005623413251903491,0,0.4912,0.0,1
0.005623413251903491,1,0.5034,0.0,1
0.005623413251903491,2,0.484,0.0,1
0.005623413251903491,3,0.4986,0.0,1
0.005623413251903491,4,0.5038,0.0,1
0.01,0,0.4912,0.0,1
0.01,1,0.5034,0.0,1
0.01,2,0.484,0.0,1
0.01,3,0.4986,0.0,1
0.01,4,0.5038,0.0,1
0.01778279410038923,0,0.4912,0.0,1
0.01778279410038923,1,0.5034,0.0,1
0.01778279410038923,2,0.484,0.0,1
0.01778279410038923,3,0.4986,0.0,1
0.01778279410038923,4,0.5038,0.0,1
0.03162277660168379,0,0.4912,0.0,1
0.03162277660168379,1,0.5034,0.0,1
0.03162277660168379,2,0.484,0.0,1
0.03162277660168379,3,0.4986,0.0,1
0.03162277660168379,4,0.5038,0.0,1
0.05623413251903491,0,0.4912,0.0,1
0.05623413251903491,1,0.5034,0.0,1
0.05623413251903491,2,0.484,0.0,1
0.05623413251903491,3,0.4986,0.0,1
0.05623413251903491,4,0.5038,0.0,1
0.1,0,0.4912,0.0,1
0.1,1,0.5034,0.0,1
0.1,2,0.484,0.0,1
0.1,3,0.4986,0.0,1
0.1,4,0.5038,0.0,1
0.1778279410038923,0,0.4912,0.0,1
0.1778279410038923,1,0.5034,0.0,1
0.1778279410038923,2,0.484,0.0,1
0.1778279410038923,3,0.4986,0.0,1
0.1778279410038923,4,0.5038,0.0,1
0.31622776601683794,0,0.4912,0.0,1
0.31622776601683794,1,0.5034,0.0,1
0.31622776601683794,2,0.484,0.0,1
0.31622776601683794,3,0.4986,0.0,1
0.31622776601683794,4,0.5038,0.0,1
0.5623413251903491,0,0.4912,0.0,1
0.5623413251903491,1,0.5034,0.0,1
0.5623413251903491,2,0.484,0.0,1
0.5623413251903491,3,0.4986,0.0,1
0.5623413251903491,4,0.5038,0.0,1
1.0,0,0.4912,0.0,1
1.0,1,0.5034,0.0,1
1.0,2,0.484,0.0,1
1.0,3,0.4986,0.0,1
1.0,4,0.5038,0.0,1
